IDENTITY,NAME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
75807,Kyra Figueroa,d,a,a,b,b,b,c,b,a,a,a
12473,Kellen Gentry,d,d,a,b,d,b,b,c,d,d,d
12588,Jayden Herman,c,c,a,a,b,a,c,b,b,c,c
8736,Blaine M. Blevins,a,d,c,c,b,b,c,a,d,a,d
40902,Curtis Mclaughlin,c,c,b,b,b,a,b,a,c,b,a
28864,Julie Mcdowell,c,c,a,d,a,d,b,a,d,b,d
79106,Eduardo Gallagher,b,a,a,b,a,b,a,c,a,b,d
12403,Jax Vazquez,b,b,b,d,c,c,c,a,a,d,d
86322,Lilia McFarland,c,b,b,b,c,a,c,a,a,c,b
27385,Ally Archer,a,b,d,a,c,d,b,d,a,d,c
45573,Sammy Pierce,b,a,d,b,d,c,c,b,d,d,d
55433,Nola Villarreal,a,b,c,a,d,d,b,d,a,b,d
79329,Ryan Mays,a,b,b,a,a,d,c,b,d,b,c
13344,Sergio Rice,a,b,a,d,a,d,b,a,a,d,b
88037,Belen Frank,c,c,d,c,d,d,a,d,a,b,d
53467,Nikhil Miles,a,c,b,a,d,d,d,d,a,d,d
80327,Sebastian Jennings,d,a,b,d,a,c,d,c,b,d,b
39933,Gideon Haynes,c,b,a,c,d,d,c,d,b,d,d
73824,Rodolfo Roman,c,c,a,d,c,d,a,b,a,b,a
13088,Rayna Moss,a,d,d,a,b,b,d,a,d,a,d
75766,Adeline Taylor,b,b,d,c,a,d,d,c,b,a,b
39935,Harold Tapia,d,b,a,d,d,b,d,d,b,c,a
8772,Austin Munoz,b,b,b,c,d,a,c,a,b,c,c
38760,Braylon Hodges,b,c,d,c,c,b,c,b,c,c,b
87967,Aleah Kemp,d,a,a,a,c,a,a,a,c,b,c
30784,King Durham,a,d,d,a,b,b,c,a,a,b,a
1807,Chanel Browning,a,a,b,c,d,c,a,c,c,a,d
52101,Hamza Villa,b,d,b,d,b,d,a,c,a,b,b
93353,Nicholas Baker,a,a,d,c,d,c,b,d,c,c,c
48306,Joyce Shields,a,c,a,d,c,d,a,d,c,b,c
66371,Sierra P. Lamb,a,c,c,b,d,d,a,a,d,a,c
68873,Elian Rojas,c,d,c,a,c,a,c,c,c,c,b
70586,Kamren Carter,b,b,a,d,c,d,d,d,b,b,a
24682,Aldo Stone,a,a,b,d,a,d,c,c,c,b,d
62558,Jamari Wilkerson,b,b,d,a,d,a,b,a,c,b,d
96367,Dominique Frey,a,c,d,c,d,d,d,d,a,a,d
98546,Destiney Morris,d,b,d,b,c,c,c,a,d,b,a
68346,Sam Norris,b,b,c,d,c,b,a,d,a,d,b
7070,Lexi Gross,d,a,d,d,a,c,d,d,d,c,a
41203,Carson Reynolds,a,c,c,d,d,c,b,b,d,d,a
97972,Ella O'rozco,b,a,a,b,a,b,a,d,b,d,c
67261,Savannah Fuller,b,b,a,b,a,b,d,a,d,b,a
27750,Alec Sanders,d,b,a,c,b,a,d,c,b,a,d
